#  H2 - NNLOopt data
#    H2E  Nmax      hw   UVeff    Leff
#=====================================
 -2.2246   200   3.768 1200.00  66.926
 -2.2246   210   3.592 1200.00  70.215
 -2.2246   220   3.431 1200.00  73.504
 -2.2246   230   3.284 1200.00  76.793
 -2.2246   240   3.149 1200.00  80.082
 -2.2246   250   3.025 1200.00  83.371
#
 -0.7068    10  61.873 1250.00   4.246
 -2.0955    20  35.452 1250.00   7.410
 -2.2096    30  24.853 1250.00  10.570
 -2.2227    40  19.135 1250.00  13.729
 -2.2244    50  15.557 1250.00  16.887
 -2.2246    60  13.106 1250.00  20.045
 -2.2246    70  11.322 1250.00  23.203
 -2.2246    80   9.966 1250.00  26.361
 -2.2246    90   8.900 1250.00  29.518
 -2.2246   100   8.040 1250.00  32.676
 -2.2246   110   7.331 1250.00  35.833
 -2.2246   120   6.738 1250.00  38.990
 -2.2246   130   6.233 1250.00  42.148
 -2.2246   140   5.799 1250.00  45.305
 -2.2246   150   5.421 1250.00  48.463
 -2.2246   160   5.089 1250.00  51.620
 -2.2246   170   4.796 1250.00  54.777
 -2.2246   180   4.535 1250.00  57.935
 -2.2246   190   4.300 1250.00  61.092
 -2.2246   200   4.089 1250.00  64.249
 -2.2246   210   3.897 1250.00  67.407
 -2.2246   220   3.723 1250.00  70.564
 -2.2246   230   3.564 1250.00  73.721
 -2.2246   240   3.417 1250.00  76.878
 -2.2246   250   3.282 1250.00  80.036
#
 -0.4462    10  66.921 1300.00   4.083
 -2.0662    20  38.345 1300.00   7.125
 -2.2049    30  26.881 1300.00  10.164
 -2.2219    40  20.697 1300.00  13.201
 -2.2242    50  16.826 1300.00  16.238
 -2.2245    60  14.175 1300.00  19.274
 -2.2246    70  12.246 1300.00  22.310
 -2.2246    80  10.779 1300.00  25.347
 -2.2246    90   9.626 1300.00  28.383
 -2.2246   100   8.696 1300.00  31.419
 -2.2246   110   7.930 1300.00  34.455
 -2.2246   120   7.288 1300.00  37.491
 -2.2246   130   6.742 1300.00  40.527
 -2.2246   140   6.272 1300.00  43.563
 -2.2246   150   5.863 1300.00  46.599
 -2.2246   160   5.505 1300.00  49.635
 -2.2246   170   5.187 1300.00  52.670
 -2.2246   180   4.905 1300.00  55.706
 -2.2246   190   4.651 1300.00  58.742
 -2.2246   200   4.423 1300.00  61.778
 -2.2246   210   4.215 1300.00  64.814
 -2.2246   220   4.027 1300.00  67.850
 -2.2246   230   3.854 1300.00  70.886
 -2.2246   240   3.696 1300.00  73.922
 -2.2246   250   3.550 1300.00  76.957
#
 -0.1533    10  72.168 1350.00   3.931
 -2.0328    20  41.351 1350.00   6.861
 -2.1992    30  28.989 1350.00   9.787
 -2.2209    40  22.319 1350.00  12.712
 -2.2241    50  18.145 1350.00  15.636
 -2.2245    60  15.287 1350.00  18.560
 -2.2246    70  13.206 1350.00  21.484
 -2.2246    80  11.624 1350.00  24.408
 -2.2246    90  10.381 1350.00  27.332
 -2.2246   100   9.378 1350.00  30.255
 -2.2246   110   8.551 1350.00  33.179
 -2.2246   120   7.859 1350.00  36.102
 -2.2246   130   7.270 1350.00  39.026
